Crop,Week,Temp_C,Humidity_RH,pH_Water,N_ppm,P_ppm,K_ppm,EC_Target
eggplant,14,22.11,55.27,6.08,173.57,71.78,353.57,1.155
tomato,9,17.23,58.3,6.6,169.36,79.68,379.36,1.212
eggplant,1,26.09,73.94,7.26,122.0,51.0,152.0,0.627
tomato,3,26.96,73.2,4.69,101.5,42.25,127.0,0.522
lettuce,6,33.41,76.17,5.33,130.27,40.0,163.78,0.644
cucumber,4,27.26,53.93,5.99,199.11,69.56,349.11,1.191
mint,10,19.75,47.18,5.82,185.29,47.65,215.29,0.864
spinach,4,22.2,65.29,5.48,181.43,60.71,251.43,0.952
strawberry,17,21.66,60.01,6.7,114.24,52.12,214.24,0.734
tomato,10,29.22,87.42,6.71,166.62,78.5,368.94,1.184
zucchini,6,27.1,74.78,8.61,153.23,51.12,255.23,0.886
cilantro,5,22.68,56.93,6.53,127.07,33.53,167.07,0.632
cilantro,1,35.78,57.27,5.82,61.07,22.87,76.4,0.309
basil,2,28.28,74.08,6.24,95.18,27.76,95.18,0.421
spinach,4,24.7,55.21,6.37,170.84,55.42,240.84,0.901
eggplant,7,19.55,75.01,6.03,164.48,67.24,344.48,1.111
arugula,3,15.83,38.4,7.28,132.66,30.33,168.66,0.64
cucumber,12,27.46,72.65,6.01,199.81,69.91,349.81,1.195
mint,5,20.06,93.08,5.89,192.83,51.42,222.83,0.901
tomato,10,28.6,59.03,6.26,168.75,79.46,374.97,1.202
arugula,1,30.87,69.53,4.22,78.44,23.94,93.72,0.378
melon,6,14.24,78.23,6.42,165.31,72.15,396.31,1.222
spinach,4,28.26,43.41,6.56,181.32,60.9,250.78,0.951
lettuce,2,18.02,97.95,6.14,90.14,30.07,100.14,0.425
bean,5,22.99,66.03,5.48,130.35,45.17,190.35,0.706
melon,9,28.34,67.02,6.71,158.57,69.38,376.32,1.165
pak_choi,5,31.75,77.79,7.19,150.88,53.25,221.88,0.822
pak_choi,2,22.19,63.07,6.74,108.77,44.38,128.77,0.544
basil,3,26.32,60.25,5.98,141.39,35.69,171.39,0.672
spinach,4,28.26,57.18,6.91,173.24,56.85,242.69,0.912
mint,2,19.55,52.41,6.68,89.29,24.64,89.29,0.392
zucchini,2,21.94,71.9,5.61,131.8,50.9,161.8,0.664
basil,1,35.02,45.56,5.79,76.64,22.53,76.64,0.339
pak_choi,6,27.26,56.76,6.75,178.22,64.11,258.22,0.965
bean,4,29.95,86.47,4.7,116.59,42.46,164.08,0.623
cucumber,1,21.23,66.62,6.53,117.55,38.77,147.55,0.586
pak_choi,1,33.83,76.25,6.92,85.26,34.38,101.76,0.427
bean,6,27.98,40.65,6.57,135.19,47.59,195.19,0.729
zucchini,5,14.91,78.14,7.21,184.59,60.8,310.59,1.072
cilantro,4,20.6,64.94,5.96,143.01,41.51,183.01,0.709
pepper,1,19.04,79.3,5.48,123.36,41.68,143.36,0.595
spinach,5,22.86,83.54,6.08,194.62,67.31,264.62,1.015
spinach,4,15.98,60.05,5.66,181.2,60.6,251.2,0.951
strawberry,2,31.33,58.56,7.44,79.53,35.26,106.53,0.427
pak_choi,4,17.82,44.57,6.11,172.71,61.36,252.71,0.939
tomato,11,25.25,61.84,5.45,169.87,79.93,379.87,1.214
lettuce,3,20.44,34.79,6.06,142.97,44.49,178.97,0.707
pepper,6,25.4,65.7,6.66,187.2,53.6,247.2,0.941
tomato,14,22.16,41.28,7.28,177.11,83.56,387.11,1.249
strawberry,12,22.8,83.98,5.85,102.59,46.29,202.59,0.678
eggplant,4,30.64,55.82,6.5,106.23,43.91,133.86,0.548
strawberry,12,27.72,50.56,4.95,96.81,44.15,181.81,0.622
eggplant,13,25.86,72.03,5.68,164.93,67.46,344.93,1.113
cucumber,2,23.77,55.18,5.39,116.78,38.39,146.78,0.582
melon,3,32.83,59.77,6.22,123.73,44.76,157.93,0.63
bean,7,20.71,78.39,5.43,141.29,50.64,201.29,0.758
cucumber,6,27.56,36.08,7.99,155.47,55.24,267.97,0.923
spinach,6,13.8,57.81,6.34,183.71,60.36,257.21,0.967
melon,8,24.85,54.85,5.32,171.19,75.59,391.19,1.23
strawberry,6,26.69,72.7,6.77,109.89,49.95,209.89,0.713
lettuce,3,21.72,61.21,7.0,160.17,50.08,200.17,0.792
cilantro,6,31.51,72.39,5.87,125.93,36.13,161.72,0.624
strawberry,2,17.38,50.15,7.1,98.99,44.5,128.99,0.525
bean,4,25.92,46.2,7.9,119.6,42.8,170.6,0.642
strawberry,9,26.29,45.24,5.52,118.97,54.49,218.97,0.757
pak_choi,3,17.18,48.23,7.07,171.74,60.87,251.74,0.934
bean,9,17.14,67.32,5.94,142.86,51.43,202.86,0.766
tomato,14,27.89,54.9,8.03,148.79,70.15,327.29,1.053
strawberry,20,36.45,86.83,7.31,79.03,35.78,153.68,0.518
cilantro,6,28.79,61.45,4.37,116.9,33.66,149.95,0.58
strawberry,19,22.85,56.33,7.38,104.17,47.09,204.17,0.685
zucchini,6,19.32,81.95,5.94,180.33,60.16,300.33,1.043
pepper,9,19.83,67.17,6.43,163.25,61.63,323.25,1.057
arugula,2,28.97,71.32,5.88,98.71,29.93,118.12,0.476
cilantro,6,20.37,75.31,6.18,138.57,39.28,178.57,0.687
bean,8,18.58,81.88,5.98,134.61,47.3,194.61,0.726
melon,10,31.23,48.68,6.31,149.43,65.68,348.11,1.086
eggplant,14,35.39,65.99,5.06,142.16,59.41,282.26,0.933
bean,4,21.52,42.8,6.26,139.93,49.97,199.93,0.752
pak_choi,6,22.51,43.47,5.6,166.68,58.34,246.68,0.91
spinach,1,31.82,43.64,6.65,80.83,22.71,98.54,0.39
cucumber,8,26.58,67.18,5.29,197.19,68.6,347.19,1.182
lettuce,6,25.31,68.89,5.21,162.42,51.21,202.42,0.802
tomato,9,33.37,49.86,7.95,119.49,56.3,264.15,0.848
arugula,1,23.01,17.05,5.84,85.78,24.89,103.78,0.414
zucchini,5,23.26,58.36,7.11,181.83,60.91,301.83,1.05
mint,9,25.56,53.58,7.9,156.64,40.07,182.14,0.731
melon,4,35.16,60.06,5.54,127.26,55.78,300.01,0.932
zucchini,10,6.75,67.01,6.29,188.54,62.77,314.54,1.091
eggplant,4,20.05,51.42,6.74,125.63,52.81,155.63,0.644
mint,3,25.05,58.36,5.49,180.93,45.46,210.93,0.843
cilantro,3,27.1,41.73,5.54,135.82,37.91,175.82,0.674
melon,1,26.36,54.23,6.09,141.61,50.81,181.61,0.721
mint,1,25.47,43.74,6.27,94.5,27.25,94.5,0.417
mint,2,21.43,72.23,5.59,88.04,24.02,88.04,0.386
spinach,5,28.88,82.78,7.03,174.86,58.22,243.02,0.918
melon,4,24.7,42.42,5.24,161.76,70.88,381.76,1.185
strawberry,10,21.96,68.4,5.86,109.8,49.9,209.8,0.713
strawberry,3,23.7,54.34,6.15,93.21,41.6,123.21,0.498
bean,9,28.41,31.93,6.92,123.3,43.89,176.56,0.663
arugula,5,28.05,61.08,7.05,161.4,40.76,201.34,0.778
basil,6,18.23,66.82,6.14,148.48,39.24,178.48,0.706
strawberry,2,22.74,39.7,6.67,77.82,34.41,104.82,0.419
cucumber,11,33.36,73.54,6.88,164.82,57.23,290.7,0.989
pepper,2,22.45,51.84,6.0,124.64,42.32,144.64,0.601
tomato,8,28.9,62.12,6.45,166.18,78.22,370.51,1.186
strawberry,16,34.2,58.26,5.39,90.14,41.0,171.54,0.584
pepper,4,33.58,58.45,6.11,144.12,38.75,194.07,0.727
bean,5,21.34,72.99,5.9,139.74,49.87,199.74,0.751
bean,3,31.77,37.49,7.06,94.98,31.75,142.19,0.519
eggplant,11,23.81,41.78,6.08,165.33,67.66,345.33,1.115
spinach,5,12.04,41.39,6.35,188.31,62.66,261.81,0.989
tomato,2,29.62,35.42,6.26,104.57,43.77,130.11,0.537
basil,2,29.42,57.21,5.6,94.14,27.92,94.14,0.417
melon,6,24.21,41.23,6.0,158.17,69.08,378.17,1.168
pak_choi,2,29.5,47.51,6.92,101.4,41.15,120.5,0.507
tomato,1,25.68,61.42,7.65,92.26,37.63,117.76,0.478
mint,1,25.72,57.04,6.38,98.61,29.3,98.61,0.437
tomato,6,27.99,56.63,6.88,191.53,55.76,271.53,1.001
basil,1,19.91,69.48,4.73,87.96,26.98,87.96,0.391
pak_choi,4,19.49,76.74,5.58,176.61,63.31,256.61,0.958
melon,5,20.91,72.3,4.65,140.13,61.56,327.13,1.02
tomato,5,26.09,62.74,6.25,199.55,59.78,279.55,1.039
arugula,5,20.25,72.19,5.34,157.73,38.86,197.73,0.76
cilantro,4,31.64,41.42,4.67,102.63,29.09,132.26,0.509
bean,4,21.06,58.11,5.34,143.97,51.98,203.97,0.771
pak_choi,2,31.6,67.68,4.88,81.24,33.2,96.08,0.406
spinach,3,32.29,41.2,5.63,156.52,52.12,217.52,0.822
strawberry,17,23.98,57.95,7.1,106.61,48.31,206.61,0.697
bean,2,19.41,78.39,5.5,121.72,40.86,121.72,0.548
basil,4,24.75,34.44,5.99,138.52,37.76,165.52,0.659
cilantro,1,20.37,65.35,7.35,77.94,28.97,97.94,0.395
mint,2,40.0,75.33,7.27,59.59,17.0,59.59,0.263
bean,9,25.77,45.24,6.02,145.33,52.67,205.33,0.778
melon,11,24.33,44.31,5.99,162.0,71.0,382.0,1.186
arugula,1,18.95,53.52,7.94,89.1,27.55,106.1,0.43
mint,9,24.23,70.41,5.18,193.01,51.5,223.01,0.902
basil,1,30.89,68.14,5.63,88.0,25.73,88.0,0.389
cilantro,2,19.14,51.92,4.55,67.33,25.17,84.33,0.341
mint,5,30.6,34.36,5.7,153.4,39.71,178.06,0.716
pak_choi,3,17.19,58.15,5.37,167.38,58.69,247.38,0.913
tomato,7,27.63,39.06,7.87,142.27,41.14,202.27,0.744
pepper,4,33.27,62.07,6.59,160.14,46.39,210.65,0.805
zucchini,10,30.41,57.72,5.17,167.25,55.79,278.57,0.967
arugula,5,27.26,86.81,4.89,137.05,34.52,171.05,0.661
basil,4,24.42,73.12,6.43,148.57,39.29,178.57,0.707
strawberry,16,26.01,68.87,6.21,104.38,47.19,204.38,0.686
bean,2,25.65,38.45,5.72,105.93,34.96,105.93,0.476
bean,3,25.3,61.88,7.01,131.84,45.92,191.84,0.713
zucchini,7,25.38,56.01,7.3,178.46,59.23,298.46,1.034
basil,5,24.32,65.1,7.35,149.78,39.89,179.78,0.713
eggplant,5,38.09,61.42,6.24,117.5,48.29,243.01,0.788
mint,8,27.1,69.59,6.13,190.71,50.35,220.71,0.891
mint,5,23.81,33.85,6.48,176.43,47.72,203.43,0.825
pepper,1,18.98,61.1,5.11,124.09,42.04,144.09,0.598
mint,3,20.73,25.72,7.02,157.23,38.11,184.23,0.732
pepper,5,33.58,51.93,4.96,116.34,30.87,157.3,0.587
pak_choi,4,26.87,75.91,6.19,170.9,60.45,250.9,0.93
mint,8,6.4,60.81,4.55,182.08,50.54,209.08,0.852
lettuce,4,26.22,56.69,7.29,164.23,52.11,204.23,0.811
zucchini,9,27.66,67.62,5.19,181.25,60.62,301.25,1.047
pak_choi,5,25.59,29.94,5.66,144.59,49.79,216.59,0.793
strawberry,2,25.06,63.45,6.12,84.32,37.16,114.32,0.455
spinach,6,25.86,84.65,6.3,177.1,58.55,247.1,0.931
zucchini,9,22.1,59.87,5.43,176.12,58.06,296.12,1.023
zucchini,4,17.63,61.33,6.04,183.45,61.72,303.45,1.058
lettuce,6,36.12,80.3,5.94,125.01,39.81,155.26,0.617
zucchini,6,19.07,38.31,6.48,158.15,52.08,266.15,0.919
cucumber,6,28.11,39.71,8.09,161.22,58.21,273.22,0.95
eggplant,6,27.21,30.46,6.54,153.9,63.45,315.9,1.028
lettuce,5,24.38,45.35,6.3,156.39,48.2,196.39,0.773
pepper,11,21.71,40.73,5.92,166.12,63.06,326.12,1.071
cucumber,4,20.19,68.15,6.73,197.56,68.78,347.56,1.184
strawberry,3,28.39,59.85,6.21,92.33,41.22,121.98,0.493
spinach,1,16.18,100.0,6.06,108.39,34.2,128.39,0.523
melon,6,12.99,54.62,6.16,178.71,78.86,409.71,1.287
strawberry,16,22.71,64.43,5.64,105.13,47.57,205.13,0.69
basil,4,28.88,35.88,6.05,128.3,33.57,154.5,0.61
lettuce,7,24.8,67.74,6.15,162.63,51.32,202.63,0.803
strawberry,14,21.92,58.07,7.73,94.06,42.78,179.06,0.609
pepper,5,17.7,55.13,7.34,184.26,52.13,244.26,0.927
lettuce,6,31.32,61.24,4.44,125.79,40.38,155.8,0.621
cucumber,3,21.62,63.5,7.32,207.87,73.94,357.87,1.234
bean,8,26.49,59.82,5.15,141.1,50.55,201.1,0.757
mint,3,21.38,40.62,7.12,191.48,50.74,221.48,0.894
zucchini,7,17.35,76.63,6.63,168.66,54.33,288.66,0.987
pak_choi,2,33.75,39.41,5.66,68.48,26.97,83.03,0.344
cilantro,4,17.75,62.27,6.24,142.22,41.11,182.22,0.705
eggplant,9,26.64,71.33,3.98,139.79,57.14,292.79,0.944
zucchini,2,27.29,46.27,7.14,136.52,53.26,166.52,0.687
pepper,7,22.74,95.03,6.16,160.41,60.21,320.41,1.043
bean,9,31.37,64.28,8.3,100.51,35.27,145.44,0.542
pak_choi,4,16.22,66.67,6.72,172.31,61.16,252.31,0.937
eggplant,16,18.99,42.16,6.32,174.46,72.23,354.46,1.159
cucumber,2,16.87,43.44,5.71,117.03,38.52,147.03,0.584
tomato,9,28.13,34.28,6.22,155.31,73.17,343.49,1.103
arugula,1,25.66,59.48,5.81,101.3,30.65,121.3,0.488
basil,3,19.82,65.15,6.28,148.17,39.08,178.17,0.705
spinach,1,13.44,62.12,5.45,107.24,32.62,128.24,0.517
arugula,2,25.21,48.08,5.58,100.11,30.05,120.11,0.483
bean,6,18.62,49.56,4.73,115.2,40.6,166.2,0.621
arugula,4,29.02,24.01,7.0,130.42,30.44,165.2,0.629
basil,5,24.01,79.79,6.63,147.83,38.92,177.83,0.703
bean,5,18.66,52.51,5.34,137.93,48.97,197.93,0.742
bean,3,22.87,37.19,6.84,128.62,46.31,182.62,0.69
eggplant,15,31.3,76.98,5.77,158.04,65.5,320.22,1.049
spinach,1,18.61,44.9,4.32,87.88,26.94,104.88,0.424
lettuce,4,22.81,92.23,6.78,158.89,49.44,198.89,0.785
cilantro,4,15.86,71.85,6.92,137.35,38.67,177.35,0.681
cilantro,4,18.19,57.04,6.31,132.64,36.32,172.64,0.659
spinach,4,32.03,85.04,5.73,158.82,53.04,220.36,0.834
eggplant,7,18.6,44.85,8.41,143.77,59.14,296.77,0.964
mint,3,18.21,88.67,7.06,188.24,49.12,218.24,0.879
lettuce,6,18.88,26.01,5.85,135.59,40.8,171.59,0.671
strawberry,4,27.31,57.45,6.45,87.99,38.99,117.99,0.472
pepper,12,29.67,28.92,5.53,137.19,51.6,273.17,0.891
strawberry,14,25.51,70.76,5.38,126.84,58.42,226.84,0.795
mint,8,19.76,19.74,6.5,171.73,45.36,198.73,0.802
mint,7,26.19,37.76,6.07,173.89,46.44,200.89,0.812
basil,2,16.38,91.37,6.4,95.94,27.97,95.94,0.424
zucchini,4,24.73,87.1,5.96,170.58,55.29,290.58,0.996
strawberry,20,12.89,47.26,7.34,111.01,50.25,216.01,0.728
strawberry,14,23.4,72.37,5.82,101.02,45.51,201.02,0.67
melon,6,19.77,86.73,6.95,157.94,68.97,377.94,1.166
lettuce,1,33.5,91.94,5.42,67.77,21.36,76.12,0.319
tomato,3,19.56,88.27,6.34,117.57,48.78,147.57,0.605
bean,3,19.21,64.52,6.33,136.74,48.37,196.74,0.736
strawberry,1,34.85,49.17,4.57,62.91,28.23,82.24,0.334
bean,6,22.78,59.9,5.82,131.06,45.53,191.06,0.709
strawberry,3,32.09,55.58,5.61,78.85,35.04,105.17,0.422
cucumber,6,27.26,54.94,6.08,194.97,67.48,344.97,1.171
eggplant,5,20.3,76.44,4.89,148.12,61.31,301.12,0.985
mint,3,25.42,40.84,5.16,195.89,52.95,225.89,0.916
cucumber,4,23.18,59.95,6.57,199.78,69.89,349.78,1.195
spinach,5,28.78,21.12,7.62,132.61,44.51,183.47,0.695
eggplant,6,24.55,59.93,7.22,171.59,70.8,351.59,1.146
mint,5,10.67,78.33,6.72,199.4,52.45,230.9,0.931
basil,7,24.96,51.9,5.47,146.73,38.36,176.73,0.698
basil,2,12.21,58.56,7.31,91.98,24.99,91.98,0.403
cilantro,2,24.09,38.35,5.18,70.84,26.42,88.84,0.359
lettuce,5,29.87,65.06,5.73,159.35,51.36,197.11,0.787
mint,8,28.24,70.85,7.12,185.42,48.03,215.2,0.865
strawberry,10,31.14,77.92,6.89,87.23,39.09,177.81,0.587
cucumber,7,28.5,60.77,6.19,205.28,73.09,353.03,1.218
cucumber,10,24.48,91.32,7.46,193.56,66.78,343.56,1.165
eggplant,16,20.35,55.53,5.83,168.85,69.43,348.85,1.132
cilantro,6,20.71,65.17,6.68,142.38,41.19,182.38,0.706
tomato,13,22.35,53.78,6.15,167.92,78.96,377.92,1.205
pepper,11,27.39,47.28,5.5,162.57,61.29,322.57,1.054
cucumber,3,21.53,34.45,5.8,191.82,68.91,326.82,1.133
cucumber,10,26.05,50.59,5.28,192.97,66.49,342.97,1.162
strawberry,20,35.51,35.58,7.17,82.78,38.02,150.25,0.523
cucumber,9,25.93,41.46,5.81,197.74,68.87,347.74,1.185
zucchini,8,27.53,57.65,7.86,159.11,54.06,261.11,0.915
basil,2,17.26,79.77,5.75,98.8,29.4,98.8,0.438
eggplant,3,21.63,80.81,6.72,121.8,50.9,151.8,0.626
cucumber,3,26.62,60.41,5.67,202.31,71.16,352.31,1.207
cilantro,2,20.79,41.34,5.31,82.77,31.39,102.77,0.418
zucchini,1,20.87,60.88,8.26,116.48,45.49,141.98,0.586
zucchini,4,32.64,39.05,6.09,132.97,43.66,224.27,0.773
melon,2,24.95,46.7,5.35,133.29,46.64,173.29,0.681
strawberry,2,28.55,70.1,6.64,81.86,36.01,111.36,0.442
basil,6,21.7,42.44,7.45,158.59,44.3,188.59,0.755
basil,2,8.67,43.61,6.83,111.08,34.54,111.08,0.495
lettuce,7,19.08,48.12,7.34,162.26,51.13,202.26,0.802
cilantro,4,22.15,63.88,7.69,118.66,33.83,152.66,0.589
melon,1,20.04,23.17,4.63,104.82,37.41,134.82,0.534
mint,4,24.9,45.47,5.66,189.58,49.79,219.58,0.885
pak_choi,6,25.96,71.99,5.23,170.88,60.44,250.88,0.93
tomato,2,22.91,80.58,6.48,115.26,47.63,145.26,0.594
cucumber,10,33.13,72.82,5.78,173.62,61.43,300.54,1.033
cilantro,1,22.67,65.1,7.36,76.35,28.18,96.35,0.387
eggplant,10,28.38,51.65,6.05,175.26,72.8,353.21,1.16
cilantro,5,18.7,56.05,5.33,141.7,40.85,181.7,0.702
bean,5,30.57,57.58,5.72,125.34,44.21,180.72,0.676
melon,7,27.4,44.52,6.14,162.16,71.08,382.16,1.187
cucumber,6,24.89,81.56,4.49,173.8,61.4,301.3,1.035
arugula,3,13.99,89.7,5.99,167.46,41.73,209.46,0.807
tomato,2,24.06,35.41,5.63,110.84,46.42,137.84,0.569
melon,12,17.67,45.13,6.34,156.63,68.31,376.63,1.16
tomato,7,19.46,54.61,5.79,193.27,56.64,273.27,1.009
strawberry,11,19.04,52.22,6.45,111.09,50.54,211.09,0.719
strawberry,18,24.34,77.42,7.06,108.78,49.39,208.78,0.708
tomato,10,29.91,32.62,6.1,135.28,63.43,312.25,0.985
pepper,7,21.82,60.94,6.26,152.85,56.42,312.85,1.007
cilantro,4,24.71,66.91,5.61,133.44,36.72,173.44,0.663
melon,2,22.54,66.23,4.46,123.51,44.76,157.51,0.628
zucchini,6,21.94,25.01,6.77,150.59,48.29,258.59,0.882
mint,10,30.19,65.33,5.92,178.23,47.07,206.26,0.832
cucumber,4,23.05,56.29,8.32,174.0,61.5,301.5,1.036
pak_choi,4,20.9,71.17,4.81,144.09,50.8,212.09,0.785
tomato,12,27.31,44.43,7.04,164.36,77.18,374.36,1.188
lettuce,4,28.84,65.11,6.9,148.91,45.21,187.9,0.737
cilantro,5,21.48,48.62,6.91,136.78,38.39,176.78,0.679
pak_choi,2,26.76,49.88,6.11,109.98,44.99,129.98,0.55
mint,7,31.79,73.22,6.64,170.51,45.37,197.1,0.796
strawberry,11,23.23,62.41,6.98,114.71,52.35,214.71,0.736
zucchini,4,22.45,58.95,7.07,182.56,61.28,302.56,1.054
mint,8,27.26,70.58,5.22,188.22,49.11,218.22,0.879
arugula,2,26.71,57.01,7.66,86.11,26.05,103.11,0.415
melon,10,18.73,57.41,6.69,159.99,69.99,379.99,1.176
arugula,2,33.91,93.36,6.26,78.68,22.88,95.13,0.379
mint,7,21.25,85.8,6.7,194.37,52.19,224.37,0.908
basil,5,36.19,75.64,5.93,116.39,31.8,139.02,0.554
zucchini,6,26.54,49.47,6.36,186.26,63.13,306.26,1.072
strawberry,15,22.34,70.16,7.95,97.2,44.35,182.2,0.624
strawberry,1,35.16,51.17,7.26,71.43,31.79,94.98,0.382
melon,2,28.8,51.7,6.69,148.66,54.81,187.7,0.754
eggplant,16,22.96,27.66,6.14,159.64,66.32,321.64,1.056
zucchini,3,26.91,54.42,6.36,180.85,60.43,300.85,1.046
pak_choi,4,34.19,94.61,7.37,139.37,49.33,204.52,0.758
tomato,9,28.54,35.02,5.09,152.27,71.72,337.87,1.084
cucumber,3,19.61,51.85,7.47,198.59,69.29,348.59,1.189
cucumber,5,21.8,22.9,6.5,178.77,62.39,313.77,1.07
eggplant,9,18.43,64.57,5.33,168.15,69.07,348.15,1.129
melon,10,28.82,85.94,9.0,123.5,53.5,305.09,0.93
zucchini,2,35.0,31.42,4.88,70.44,27.12,86.64,0.355
pepper,6,18.27,73.38,5.34,174.08,47.04,234.08,0.878
strawberry,4,21.05,59.82,5.12,98.53,44.26,128.53,0.523
eggplant,1,20.3,54.89,6.94,124.79,52.4,154.79,0.64
cilantro,1,20.54,88.32,5.52,81.23,30.62,101.23,0.411
strawberry,13,23.38,57.72,7.72,85.64,38.57,170.64,0.569
cilantro,5,32.68,74.84,7.03,118.43,33.43,152.82,0.588
strawberry,11,27.3,45.94,5.64,110.83,50.42,210.83,0.718
lettuce,6,27.24,60.03,4.93,126.54,37.77,160.54,0.626
spinach,2,26.21,40.64,5.98,100.01,30.01,120.01,0.482
bean,1,24.7,73.81,6.75,118.24,39.12,118.24,0.532
arugula,4,16.97,52.94,5.41,157.59,38.79,197.59,0.76
arugula,3,24.59,41.73,7.16,156.75,38.37,196.75,0.756
basil,7,12.79,48.06,5.8,156.72,41.61,188.22,0.745
pak_choi,2,25.62,58.0,5.81,105.21,42.6,125.21,0.527
mint,1,16.86,58.99,5.97,96.68,28.34,96.68,0.428
lettuce,6,25.16,87.79,6.96,158.33,49.16,198.33,0.783
spinach,1,25.99,39.97,5.46,93.28,28.64,111.28,0.45
pak_choi,4,10.06,63.13,7.21,176.5,62.0,260.5,0.962
pepper,10,21.13,53.24,7.96,135.5,50.75,271.5,0.883
arugula,2,22.02,78.5,6.8,109.09,34.54,129.09,0.526
spinach,3,21.77,66.91,6.99,173.75,56.88,243.75,0.915
arugula,3,22.08,30.74,6.54,134.4,31.2,170.4,0.648
zucchini,1,22.42,69.98,6.15,132.22,51.11,162.22,0.666
spinach,3,18.26,68.83,6.36,177.54,58.77,247.54,0.933
pak_choi,6,29.68,61.0,5.54,159.29,55.91,235.26,0.869
eggplant,7,29.64,22.47,5.92,137.4,55.94,290.55,0.933
spinach,6,19.79,54.72,7.45,180.63,60.32,250.63,0.948
strawberry,19,18.61,53.51,7.05,108.57,49.29,208.57,0.707
cucumber,2,19.95,52.69,6.6,119.8,39.9,149.8,0.597
tomato,7,33.19,59.16,5.67,170.93,51.69,238.47,0.889
pepper,6,29.5,97.15,6.67,179.74,51.67,237.04,0.903
tomato,10,18.03,43.18,6.93,158.12,74.06,368.12,1.158
tomato,13,15.75,54.49,6.35,172.81,81.4,382.81,1.229
arugula,4,34.24,76.74,7.5,129.56,32.27,162.07,0.625
zucchini,7,20.65,36.07,5.76,159.45,52.73,267.45,0.925
tomato,16,26.39,60.97,5.51,174.6,82.3,384.6,1.237
cucumber,11,18.85,55.28,5.4,197.48,68.74,347.48,1.184
eggplant,8,17.26,47.59,6.33,161.48,65.74,341.48,1.097
melon,11,33.41,55.92,6.28,132.55,57.9,316.84,0.978
zucchini,9,21.45,33.18,5.81,165.06,55.53,273.06,0.952
pepper,8,16.89,37.37,5.59,144.2,54.1,288.2,0.938
mint,10,25.48,84.27,6.25,190.58,50.29,220.58,0.89
pak_choi,4,30.1,71.13,6.18,163.58,58.37,238.54,0.888
bean,4,14.48,85.8,8.28,122.83,43.41,176.83,0.662
eggplant,16,23.49,74.23,5.97,175.67,72.84,355.67,1.165
spinach,4,28.53,64.8,7.44,178.73,59.84,247.62,0.938
mint,4,34.75,56.59,7.39,153.94,41.08,177.86,0.719
bean,4,21.0,63.43,5.61,134.8,47.4,194.8,0.727
pak_choi,6,30.79,34.96,5.95,143.66,51.42,208.96,0.779
zucchini,10,31.55,53.24,6.42,161.69,54.04,268.91,0.935
pak_choi,5,30.76,94.08,6.13,151.75,52.94,225.13,0.829
mint,4,13.73,24.9,5.14,181.06,47.78,209.56,0.845
mint,8,28.57,36.6,7.46,162.65,41.59,189.14,0.759
mint,8,25.86,60.67,5.15,184.86,47.43,214.86,0.862
strawberry,4,20.11,50.67,6.48,91.34,40.67,121.34,0.489
pak_choi,5,23.0,50.75,6.38,180.2,65.1,260.2,0.975
cucumber,9,34.51,34.43,7.02,142.19,49.95,247.9,0.849
bean,2,25.45,81.57,6.09,124.42,42.21,124.42,0.561
spinach,6,28.52,51.07,5.58,172.4,56.67,241.31,0.907
pepper,10,22.0,38.99,6.87,143.22,53.61,287.22,0.934
strawberry,3,24.73,68.25,7.8,86.58,39.04,112.08,0.458
eggplant,16,26.94,65.69,5.3,158.08,64.04,338.08,1.08
eggplant,7,22.53,63.75,5.88,162.36,66.18,342.36,1.101
spinach,2,25.09,33.83,7.38,85.26,24.63,103.26,0.411
tomato,11,20.56,62.51,7.05,169.89,79.94,379.89,1.214
cilantro,3,25.88,50.66,6.9,144.12,42.06,184.12,0.714
pepper,3,18.54,58.08,6.85,124.46,42.23,144.46,0.6
tomato,10,28.22,49.35,6.01,164.24,77.15,372.86,1.185
bean,3,16.54,42.45,6.4,137.97,48.99,197.97,0.742
cucumber,7,17.65,72.69,6.57,198.7,69.35,348.7,1.189
strawberry,3,27.0,65.73,6.06,86.01,38.01,116.01,0.463
arugula,4,25.43,60.85,6.31,155.79,37.9,195.79,0.751
strawberry,18,26.06,86.88,5.37,104.79,47.4,204.79,0.688
zucchini,6,34.99,71.0,5.95,146.99,49.79,241.83,0.846
arugula,3,25.32,50.05,5.33,165.45,42.73,205.45,0.798
eggplant,6,17.36,64.7,6.57,163.37,66.68,343.37,1.106
eggplant,12,25.55,76.7,5.73,173.38,71.69,353.38,1.154
melon,12,18.85,92.69,5.38,158.05,69.02,378.05,1.167
eggplant,13,20.96,66.03,5.69,176.65,73.32,356.65,1.17
basil,4,8.47,89.79,5.28,153.37,39.93,184.87,0.729
melon,7,28.46,58.16,6.14,164.78,72.53,381.74,1.194
spinach,2,26.66,51.68,7.89,85.67,25.83,102.67,0.413
pepper,3,19.21,42.87,6.06,110.75,35.37,130.75,0.534
strawberry,20,12.0,84.1,6.99,118.92,54.21,223.92,0.766
tomato,15,23.42,67.0,5.45,172.85,81.42,382.85,1.229
melon,11,30.87,25.43,5.55,142.36,63.04,321.42,1.016
cucumber,11,16.01,76.66,5.61,195.65,67.83,345.65,1.175
eggplant,3,27.18,73.56,7.4,117.39,48.7,147.39,0.605
zucchini,1,22.7,51.22,7.07,128.97,49.48,158.97,0.651
